id,s_group_id,m_group_id,w_group_id,is_core_row
592224,,,,
591074,,,,
585348,,,,
584514,str_36,med_59,,1
584474,str_36,med_59,,
590131,,,,
594908,,,,
587089,,,,
587079,,,,
586428,,,,
594482,,,,
594481,,,,
587884,,,,
588943,,,,
584346,,,,
588234,,,,
586305,,,,
587706,,,weak_245,1
596026,,,,
589968,,,,
593417,,,,
593400,,med_61,,1
593465,,med_62,,1
587164,,med_62,,
587156,,med_61,,
595276,,,,
595957,,med_60,,1
588352,,med_60,,
575857,,,,
590738,,med_66,,1
590911,,med_66,,
590920,,med_66,,
590183,,,weak_80,
591897,,,,
591956,str_37,med_63,,1
586673,,,,
586949,,,,
586901,,,,
591437,str_37,med_63,,
577542,,,,
578460,,,,
581143,,,,
592333,str_38,med_64,,1
592326,str_38,med_64,,
582500,,med_67,,1
582498,,med_65,,1
582593,,,,
583164,,med_65,,
583180,,med_67,weak_39,
577706,,,,
580859,,,,
580756,,,,
583278,,,,
579200,,,,
579228,,,,
579243,,,,
579214,,,,
582298,,,,
583472,,,,
596420,,,,
584638,,med_68,,1
584627,,,,
584294,,,,
584184,,med_68,,
584296,,,,
583158,,,,
586382,,,,
587950,,,,
580799,,,,
576994,,med_65,,
580795,,,,
576985,,,weak_39,1
582184,,,,
582654,,,weak_80,1
586218,,,,
576743,,,,
585184,,,,
582822,,,,
582636,str_39,med_69,,1
583339,str_39,med_69,,
580857,,,,
593927,,,,
589925,,,,
583301,,med_71,,1
595615,,,,
595155,,,,
581333,,,,
581263,,,,
590263,,med_72,,1
590215,,med_72,,
581111,,,,
575909,,,,
583997,,,,
596287,,,,
596230,,,,
590454,,,,
581429,,med_71,,
590240,,,,
577544,,,,
576069,,,,
581345,,,,
583187,,,,
589548,,,,
582522,,,,
583620,,,,
576259,,,,
578311,str_40,med_70,,1
583593,str_40,med_70,,
583595,str_40,med_70,,
578479,,,,
594776,,,,
575227,,,,
576037,,,,
586498,,,,
581520,,,,
576738,,,,
584048,,,,
580062,,,,
584570,,,,
577761,,,,
576831,,,,
583003,,,,
575280,,,,
587378,,,,
586893,,,,
592482,,,,
591793,,,,
575374,,,,
581594,,,,
596161,,,,
575519,,,,
581287,,,,
586697,,med_73,,1
588776,,,,
578806,,,,
596512,,,,
575929,,med_73,,
587696,,,,
594016,,,,
594076,,,,
594036,,,,
582815,,,,
588372,,,,
588349,,,,
594662,,,,
582308,,,,
579400,,,,
590352,,,,
580142,str_41,med_74,,1
586904,,,,
589909,,,,
589903,,,,
584233,,,,
584235,,med_75,,1
584032,,,,
582424,,med_75,,
576375,,,,
580335,str_41,med_74,,
596246,,,,
575553,,,,
591384,,,,
585980,,,,
593161,,,,
595474,,,,
579294,,,,
580040,,,,
581812,,,weak_66,
591217,,,weak_66,1
592304,,,,
583081,,,,
583457,,,,
578444,,,,
579233,,,,
585302,,,,
590108,,,,
578761,,,,
581469,,med_76,,1
578857,,med_76,,
581787,,,,
586598,,,,
576111,,,,
583668,,,,
582432,,,,
587877,,,,
588849,,,,
584839,,,,
583776,,,,
581941,,,,
582026,,,,
583779,,,,
583774,,,,
589138,,,,
589129,,,,
585202,,,,
585187,,,,
585178,,,,
582016,,,,
589131,,,,
589143,,,,
589133,,,,
594521,,,,
593211,,,,
590968,,,,
583020,,,,
594708,,,,
577866,,,,
586670,,,,
578143,,,,
577117,,,,
580189,,,,
586802,str_43,med_78,,1
581573,,,,
576758,,,,
591533,,,,
583113,,,,
583204,,med_82,weak_97,1
583213,,,weak_97,1
583189,str_42,med_82,,1
583207,,med_82,,
583172,str_42,med_77,,
583163,,,,
583219,,,,
583196,,med_82,,
583179,,med_82,,
583185,,med_82,,
586419,str_43,med_78,,
590746,,,,
588321,,,,
580215,,,,
578015,,,,
578042,,,,
588125,,,,
588119,,,,
588297,,,,
592395,,,,
579894,,,,
588649,,,,
589166,,,,
587082,,,,
584644,,,,
576443,,,,
591348,,,,
590334,,,,
585093,,,,
593359,,,,
576733,,,,
582047,,,,
583725,,,,
576813,,,,
576116,,,,
579286,,,,
592269,,,,
584148,,,,
579864,,,,
585936,,,,
586961,,,,
592158,,,,
582063,,,,
582307,,,,
582540,,,,
582070,,,,
582075,,,,
583775,str_44,med_79,,1
583822,str_44,med_79,,
582671,,,,
582820,,,,
582669,,,,
582668,,,,
583648,,,,
577684,,,,
576373,,,,
576536,,,,
592969,,,,
592968,,,,
594874,,,,
576657,,,,
580000,,,,
593905,,,weak_397,
581997,,,,
594008,,,,
584158,,,,
584646,,,,
584163,,,,
580770,,,,
580583,,,,
582994,,,,
591861,,,,
576466,,,,
579596,,,,
593192,,,,
577672,,,,
585625,,,,
588640,,,,
587905,,,,
577520,,,,
582255,,,,
585571,str_43,med_78,,
581799,,,,
587480,str_45,med_80,,1
585529,str_45,med_80,,
584891,,,weak_372,
584824,,,weak_372,1
583286,,,,
586203,str_46,med_81,,1
586163,str_46,med_81,,
584857,,,,
583923,,,,
576325,,,,
578623,,,,
576207,,,,
576324,,,,
576323,,,,
582659,,,,
576205,,,,
579098,,,,
584845,,,,
582663,,,,
579100,,,,
583928,,,,
578622,,,,
578621,,,,
583917,,,,
579103,,,,
584872,,,,
589483,,,,
589264,,,,
589258,,,,
589265,,,,
589478,,,,
589488,,,,
582665,,,,
595594,,,,
595577,,,,
595569,,,,
594170,,,,
594264,,,,
594277,,,,
593512,,med_83,,1
594087,,,,
594157,,,,
593619,,,,
593625,,,,
594284,,,,
594084,,,,
593508,,,,
593517,,med_83,,
594270,,,,
594078,,,,
594162,,,,
593622,,,,
595312,,,,
588148,,,,
581451,,,,
594039,,,,
586562,,,,
593904,,,weak_397,1
581996,,,,
576839,,,,
581154,,,,
575359,,,,
587302,,,,
596545,,,,
582554,,,,
583485,,,,
581831,,,,
578453,,,,
584540,,med_84,,1
587366,,,,
588683,,,,
592951,,med_84,,
579128,,,,
584349,,,,
592654,,,,
578568,,,,
582606,,,,
582603,,,,
582955,,,,
583739,,,,
594268,,,,
595270,,,,
579560,,,,
581188,,,,
591759,,med_86,,1
596251,,med_86,,
596241,,,,
596459,,,,
596440,,,,
591753,,,,
596156,,,,
576993,,,,
585280,,med_85,,1
585305,,med_85,weak_201,
585295,,,weak_201,1
585284,,,,
587062,,,,
595410,,,,
594756,,,,
579332,,,,
592948,,,,
584376,,,,
585676,,,,
577614,,,,
579268,,,,
589914,,,,
596396,,,,
595758,,,,
577901,,,,
586996,,,,
596001,,,,
582089,,,,
588313,,med_88,,1
588289,,med_88,,
588272,,,,
588504,,med_87,,1
583990,,,,
595830,,,,
577610,,med_89,,1
577608,,med_89,,
592569,,,,
586864,,med_87,,
586859,,,,
591427,,,,
585245,,,,
577407,,,,
592664,,,,
578644,,,,
576755,,,,
578247,,,,
580145,,,,
591293,,med_94,,1
591298,str_47,med_90,,1
596285,str_47,med_90,,
596283,,med_94,,
590567,str_48,med_91,,1
590604,str_48,med_91,,
591959,,,,
592196,,,,
588001,,,,
588002,,,,
591008,,,,
587684,,,,
587693,,,,
591549,,,,
582440,,,weak_261,
576192,,,weak_261,1
577604,str_50,med_93,,1
578179,,,,
580338,,,,
593796,str_49,med_92,,1
593832,str_49,med_92,,
595149,str_49,med_92,,
587355,,,,
577602,str_50,med_93,,
579336,,,,
590178,,,,
578448,,,,
586819,,,,
589251,,,,
584692,,,,
580147,,,,
575831,,,,
577409,,,,
588025,,,,
577476,,,,
577833,,,,
594249,,,,
578141,,,,
594972,,,,
580207,,,,
593333,,,,
593153,,,,
593454,,,,
581726,,,,
593603,,,,
593311,,,,
578269,,,,
578261,,,,
596328,,,,
580784,,,,
594706,,,,
591459,,,,
585754,,,,
595678,,,,
588293,,,,
579805,,,,
590410,,,,
585874,,,,
584632,,,,
584384,,,,
576472,,,,
593157,,,,
584526,,,,
596550,,,,
582833,,med_95,,1
580916,,med_95,,
585762,,,,
576967,,,,
581808,,,,
592260,,,,
592242,,,,
585455,,,,
595367,,,,
593063,,,,
579451,,,,
592513,,,,
593354,,,,
595419,,,,
593561,,,,
592607,,,,
593969,,,,
596334,,,,
579830,,,,
586286,str_51,med_96,,1
586298,str_51,med_96,,
586284,str_51,med_96,,
586280,str_51,med_96,,
592487,,,,
595730,,,,
595099,,,,
587017,,,,
591140,,,,
595290,,,,
594630,,,,
592205,,,,
595420,,,,
594437,,,,
592040,,,,
575350,,,,
595412,,,,
578059,str_52,med_97,,1
587220,str_52,med_97,,
593276,,,,
582632,,,,
580472,,,,
593383,,,,
582029,,,,
581223,,,,
575501,,,,
594271,,,,
593933,,,,
596115,,,,
581029,,,,
581521,,,,
595268,,med_98,,1
587312,,med_98,,
585486,,,,
593788,,,,
577712,,,,
591447,,,,
590755,,,,
588249,,,,
590347,,,,
578080,,,,
583336,,,,
591130,,,,
579189,,,,
595468,,,,
